Customer_Key,Membership_Type,Baseline_HSIC_SoW,Recent_HSIC_SoW,SoW_Change_pp,SoW_Decline_pp,Recent_Total_Net_Sales,Recent_HSIC_Net_Sales,Recent_Non_HSIC_Net_Sales,Recent_Transaction_Count,Recent_HSIC_Transaction_Rows,HSIC_Recency_Days,Primary_Leakage_Method,Primary_Leakage_Spend,Top_Category,Top_Category_Spend,Silent_Attrition_Flag,HSIC_Dormant_Flag,High_Value_Low_SoW_Flag,Recoverable_Wallet,Opportunity_Score,Opportunity_Tier,Business_Segment,Strategic_Priority,Campaign_Segment,Recommended_Strategy
HSIC-00027,Prime,30.0811304208744,0.0,-30.0811304208744,30.0811304208744,1205.58,0.0,1205.58,24.0,0.0,304.0,MetroMart Wallet,729.07,Bill Payments,729.07,1,1,0,1205.58,37.52809763497208,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00028,Non-Prime,18.894117788167037,0.0,-18.894117788167037,18.894117788167037,8095.19,0.0,8095.19,16.0,0.0,225.0,MetroMart Wallet,6618.42,Travel,6618.42,0,1,0,8095.19,65.01379025029304,High,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00029,Prime,25.57501697897114,2.8923049208875016,-22.68271205808364,22.68271205808364,33307.0,963.34,32343.66,243.0,1.0,27.0,MetroMart Wallet,23390.9,Furniture,11747.61,1,0,1,32343.66,82.97007515686411,Critical,Active HSIC Growers,Grow,High-Value Silent Decliners,"Targeted win-back campaign using recent spend behavior, category preference, and a time-bound HSIC spend milestone."
HSIC-00030,Prime,100.0,0.0,-100.0,100.0,953.34,0.0,953.34,4.0,0.0,242.0,MetroMart Wallet,953.34,Beauty,953.34,1,1,0,953.34,40.52161621733434,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00031,Non-Prime,0.0,0.0,0.0,0.0,18963.97,0.0,18963.97,33.0,0.0,999.0,MetroMart Wallet,18062.32,Large Appliances,9999.99,0,0,1,18963.97,75.03102806315934,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00032,Prime,0.0,13.869010306457207,13.869010306457207,-13.869010306457207,12570.76,1743.44,10827.32,52.0,1.0,133.0,MetroMart Wallet,6730.38,Electronics,6730.38,0,0,1,10827.32,60.16341446597255,High,Active HSIC Growers,Grow,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00033,Non-Prime,0.0,74.29244969659469,74.29244969659469,-74.29244969659469,21074.12,15656.48,5417.639999999999,75.0,2.0,26.0,Debit Card,3997.52,Large Appliances,15656.48,0,0,0,5417.639999999999,47.82493277252982,Medium,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-00034,Prime,0.0,0.0,0.0,0.0,23801.43,0.0,23801.43,112.0,0.0,999.0,MetroMart Wallet,14016.82,Electronics,11601.79,0,0,1,23801.43,76.73033165551955,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00035,Non-Prime,0.0,97.14818981386786,97.14818981386786,-97.14818981386786,5866.8,5699.49,167.31,16.0,1.0,7.0,Debit Card,167.31,Electronics,5699.49,0,0,0,167.31,18.955388540302007,Low,HSIC-First Adopters,Protect,HSIC Champions,"Protect relationship with recognition, personalized reward reminders, and early access to MetroMart offers."
HSIC-00036,Prime,50.02241542584272,0.0,-50.02241542584272,50.02241542584272,17227.43,0.0,17227.43,119.0,0.0,294.0,Cash/UPI,11557.99,Kids And Toys,5333.1,1,1,1,17227.43,87.00717093015238,Critical,Wallet Migrators,Win Back,High-Value Dormant,"High-priority reactivation campaign highlighting HSIC rewards versus non-reward payment methods, combined with a limited spend milestone."
HSIC-00037,Prime,0.0,0.0,0.0,0.0,3147.1,0.0,3147.1,24.0,0.0,999.0,Debit Card,1527.97,Grocery,1619.13,0,0,0,3147.1,37.63083499965524,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00038,Non-Prime,78.23896221450656,35.92262610522037,-42.31633610928619,42.31633610928619,2066.33,742.28,1324.05,14.0,1.0,148.0,MetroMart Wallet,1324.05,Kids And Toys,1324.05,1,0,0,1324.05,38.3575811900986,Medium,Wallet Migrators,Win Back,Silent Decliners,Personalized win-back communication based on the customer's dominant MetroMart category and alternative payment behavior.
HSIC-00039,Non-Prime,6.879581236865905,46.39107111077213,39.51148987390623,-39.51148987390623,9046.59,4196.81,4849.78,60.0,1.0,57.0,MetroMart Wallet,2516.61,Electronics,4196.81,0,0,0,4849.78,41.98165896711025,Medium,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00040,Non-Prime,0.0,87.46980204840857,87.46980204840857,-87.46980204840857,5443.25,4761.2,682.05,12.0,1.0,129.0,Cash/UPI,682.05,Kids And Toys,5443.25,0,0,0,682.05,22.852513273115907,Low,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-00041,Prime,0.0,0.0,0.0,0.0,1662.5800000000002,0.0,1662.5800000000002,4.0,0.0,999.0,MetroMart Wallet,3403.51,Apparel,1662.5800000000002,0,0,0,1662.5800000000002,29.49527683927463,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00042,Prime,11.003567908056372,0.0,-11.003567908056372,11.003567908056372,13268.07,0.0,13268.07,84.0,0.0,314.0,MetroMart Wallet,9999.99,Furniture,9999.99,0,1,1,13268.07,77.82493277252982,Critical,Wallet Migrators,Win Back,High-Value Dormant,High-priority HSIC reactivation: promote HSIC as preferred checkout payment and offer a limited-time reactivation milestone.
HSIC-00043,Prime,0.0,0.0,0.0,0.0,2314.43,0.0,2314.43,5.0,0.0,999.0,MetroMart Wallet,2314.43,Grocery,2314.43,0,0,0,2314.43,33.483417224022624,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00044,Non-Prime,0.0,0.0,0.0,0.0,8100.29,0.0,8100.29,18.0,0.0,999.0,MetroMart Wallet,7069.42,Furniture,7069.42,0,0,0,8100.29,56.66862028545818,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00045,Non-Prime,0.0,37.749836506545904,37.749836506545904,-37.749836506545904,12156.45,4589.04,7567.41,21.0,2.0,93.0,MetroMart Wallet,7567.41,Travel,7567.41,0,0,0,7567.41,52.08232779424947,High,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00046,Prime,0.0,0.0,0.0,0.0,6427.530000000001,0.0,6427.530000000001,30.0,0.0,999.0,Other Bank Credit Card,4191.01,Apparel,4191.01,0,0,0,6427.530000000001,51.21181824450114,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00047,Non-Prime,0.0,18.3027365683551,18.3027365683551,-18.3027365683551,8459.5,1548.32,6911.18,40.0,1.0,168.0,Cash/UPI,3465.48,Electronics,3445.7,0,0,0,6911.18,49.32772529821416,Medium,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00048,Non-Prime,0.0,0.0,0.0,0.0,12961.97,0.0,12961.97,8.0,0.0,999.0,MetroMart Wallet,12961.97,Travel,9662.43,0,0,1,12961.97,68.81920981865821,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00049,Prime,0.0,0.0,0.0,0.0,1894.58,0.0,1894.58,15.0,0.0,999.0,Other Bank Credit Card,2270.4,Apparel,3331.96,0,0,0,1894.58,30.95359580776391,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00050,Non-Prime,0.0,94.11055781442734,94.11055781442734,-94.11055781442734,10944.5,10299.93,644.5699999999997,40.0,2.0,45.0,Other Bank Credit Card,3023.5,Furniture,9625.88,0,0,0,644.5699999999997,25.480590222712543,Low,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-00051,Prime,32.65297632357606,0.0,-32.65297632357606,32.65297632357606,3422.09,0.0,3422.09,24.0,0.0,206.0,Debit Card,2732.11,Electronics,2732.11,1,1,0,3422.09,48.9526304902434,Medium,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00052,Non-Prime,45.51327965487716,0.0,-45.51327965487716,45.51327965487716,8952.48,0.0,8952.48,6.0,0.0,307.0,MetroMart Wallet,8952.48,Furniture,8952.48,1,1,0,8952.48,72.06750327518444,Critical,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00053,Prime,100.0,0.0,-100.0,100.0,11278.46,0.0,11278.46,16.0,0.0,316.0,Other Bank Credit Card,11278.46,Large Appliances,9999.99,1,1,0,11278.46,82.85389229814521,Critical,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00054,Non-Prime,0.0,100.0,100.0,-100.0,7487.5,7487.5,0.0,10.0,1.0,10.0,,,Large Appliances,7487.5,0,0,0,0.0,19.320830173067645,Low,HSIC-First Adopters,Protect,HSIC Champions,"Protect relationship with recognition, personalized reward reminders, and early access to MetroMart offers."
HSIC-00055,Non-Prime,75.57135528954288,0.0,-75.57135528954288,75.57135528954288,448.06,0.0,448.06,8.0,0.0,218.0,Cash/UPI,448.06,Beauty,448.06,1,1,0,448.06,34.85313383437909,Low,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00056,Prime,8.832934870334556,44.01004920092049,35.17711433058594,-35.17711433058594,24399.95,10738.43,13661.52,72.0,2.0,38.0,Cash/UPI,8213.86,Furniture,9999.99,0,0,0,13661.52,64.78590636420051,High,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00057,Non-Prime,0.0,14.563452694814272,14.563452694814272,-14.563452694814272,5473.29,797.1,4676.19,18.0,1.0,131.0,Other Bank Credit Card,4676.19,Furniture,5463.44,0,0,0,4676.19,39.85175480934979,Medium,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00058,Non-Prime,0.0,0.0,0.0,0.0,4487.71,0.0,4487.71,6.0,0.0,999.0,MetroMart Wallet,4487.71,Electronics,4487.71,0,0,0,4487.71,43.77749431152175,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00059,Non-Prime,9.226203757418894,0.0,-9.226203757418894,9.226203757418894,8600.19,0.0,8600.19,18.0,0.0,331.0,Cash/UPI,5669.18,Electronics,5669.18,0,1,0,8600.19,66.58346548989866,Critical,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00060,Prime,87.8439182710039,0.0,-87.8439182710039,87.8439182710039,5991.119999999999,0.0,5991.119999999999,5.0,0.0,320.0,Cash/UPI,6796.879999999999,Large Appliances,8327.39,1,1,0,5991.119999999999,65.8291387988692,Critical,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00061,Non-Prime,0.0,0.0,0.0,0.0,15433.13,0.0,15433.13,64.0,0.0,999.0,MetroMart Wallet,7658.98,Electronics,6039.05,0,0,1,15433.13,72.10715024477695,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00062,Prime,0.0,0.0,0.0,0.0,9393.15,0.0,9393.15,52.0,0.0,999.0,Other Bank Credit Card,4322.52,Kids And Toys,5070.63,0,0,0,9393.15,60.26373853685445,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00063,Non-Prime,19.001422007693577,0.0,-19.001422007693577,19.001422007693577,6183.41,0.0,6183.41,27.0,0.0,296.0,MetroMart Wallet,3941.74,Outdoor,3941.74,0,1,0,6183.41,59.82969040888092,High,Wallet Migrators,Win Back,Dormant Reactivation,"Low-cost reactivation journey with reward reminders, saved-card prompts, and a limited first-use-back incentive."
HSIC-00064,Prime,0.0,0.0,0.0,0.0,2583.67,0.0,2583.67,3.0,0.0,999.0,MetroMart Wallet,2583.67,Grocery,2583.67,0,0,0,2583.67,34.97793559953113,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00065,Non-Prime,0.0,0.0,0.0,0.0,9889.12,0.0,9889.12,54.0,0.0,999.0,Cash/UPI,4955.72,Large Appliances,4318.64,0,0,0,9889.12,61.560711576915125,High,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00066,Non-Prime,0.0,0.0,0.0,0.0,3727.47,0.0,3727.47,36.0,0.0,999.0,Cash/UPI,2451.23,Grocery,1386.13,0,0,0,3727.47,40.45956009101565,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00067,Non-Prime,0.0,0.0,0.0,0.0,695.56,0.0,695.56,8.0,0.0,999.0,MetroMart Wallet,695.56,Grocery,695.56,0,0,0,695.56,22.578087292284355,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00068,Non-Prime,0.0,17.67966018190827,17.67966018190827,-17.67966018190827,14167.580000000002,2504.78,11662.8,50.0,1.0,118.0,MetroMart Wallet,7862.790000000001,Electronics,6838.1,0,0,1,11662.8,61.94511480383369,High,Active HSIC Growers,Grow,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00069,Prime,0.0,0.0,0.0,0.0,1872.29,0.0,1872.29,3.0,0.0,999.0,MetroMart Wallet,1872.29,Bill Payments,1872.29,0,0,0,1872.29,30.830517823898507,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00070,Non-Prime,0.0,0.0,0.0,0.0,5245.05,0.0,5245.05,12.0,0.0,999.0,Other Bank Credit Card,5245.05,Large Appliances,5245.05,0,0,0,5245.05,46.84720402675309,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00071,Prime,0.0,0.0,0.0,0.0,20355.58,0.0,20355.58,39.0,0.0,999.0,MetroMart Wallet,12607.96,Large Appliances,9840.78,0,0,1,20355.58,75.72295387161276,Critical,Wallet Migrators,Win Back,High-Value Low-SoW,Conversion campaign focused on moving a portion of large MetroMart spend onto HSIC using spend-threshold incentives.
HSIC-00072,Non-Prime,45.88416605038192,27.332729052608677,-18.551436997773244,18.551436997773244,6895.25,1884.66,5010.59,28.0,1.0,101.0,MetroMart Wallet,5010.59,Large Appliances,5010.59,1,0,0,5010.59,53.889195338895405,High,Active HSIC Growers,Grow,Silent Decliners,Personalized win-back communication based on the customer's dominant MetroMart category and alternative payment behavior.
HSIC-00073,Non-Prime,0.0,29.737856559390348,29.737856559390348,-29.737856559390348,14127.38,4201.18,9926.2,40.0,1.0,34.0,Cash/UPI,9926.2,Travel,4327.81,0,0,0,9926.2,56.70619871750673,High,Active HSIC Growers,Grow,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00074,Prime,9.680096041806436,0.0,-9.680096041806436,9.680096041806436,11439.4,0.0,11439.4,14.0,0.0,207.0,Cash/UPI,8204.43,Travel,8204.43,0,1,1,11439.4,72.63669585602979,Critical,Wallet Migrators,Win Back,High-Value Dormant,"High-priority reactivation campaign highlighting HSIC rewards versus non-reward payment methods, combined with a limited spend milestone."
HSIC-00075,Non-Prime,0.0,71.5652460217229,71.5652460217229,-71.5652460217229,10539.11,7542.34,2996.7700000000004,52.0,2.0,31.0,MetroMart Wallet,2996.7700000000004,Travel,4537.38,0,0,0,2996.7700000000004,36.33317244707992,Medium,Active HSIC Growers,Grow,Growing HSIC Users,Reinforce increasing HSIC usage with spend milestones and category-specific reward reminders.
HSIC-00076,Non-Prime,54.06132875923768,31.85041366092762,-22.21091509831006,22.21091509831006,4398.530000000001,1400.95,2997.58,54.0,1.0,66.0,Other Bank Credit Card,2997.58,Outdoor,1693.38,1,0,0,2997.58,44.50734330828105,Medium,Active HSIC Growers,Grow,Silent Decliners,Personalized win-back communication based on the customer's dominant MetroMart category and alternative payment behavior.
HSIC-00077,Non-Prime,0.0,0.0,0.0,0.0,1516.73,0.0,1516.73,5.0,0.0,999.0,MetroMart Wallet,1516.73,Apparel,1516.73,0,0,0,1516.73,28.627525339584913,Low,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00078,Prime,0.0,0.0,0.0,0.0,5542.790000000001,0.0,5542.790000000001,45.0,0.0,999.0,Other Bank Credit Card,4298.85,Travel,4298.85,0,0,0,5542.790000000001,48.05109287733572,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
HSIC-00079,Non-Prime,0.0,0.0,0.0,0.0,4666.3,0.0,4666.3,14.0,0.0,999.0,Cash/UPI,5424.66,Electronics,5424.66,0,0,0,4666.3,44.52320209611804,Medium,Wallet Migrators,Win Back,General Growth,Maintain regular HSIC reward awareness and monitor future Share-of-Wallet movement.
